id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
inv-1767844108814-5wz9kud65,Ron Viejo de Caldas Tradicional 750 ml,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,1.0,Botella,51900.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:35:24.486Z
inv-1767844108814-9re65nu9v,Festival palillos doble punta x 180 uds,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,2100.0,Patty,PATY-20260103-001,0.0,,2026-01-03T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:41:45.216Z
inv-1767844767667-bi0fxw2v1,Cerveza Heineken lata,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,0.0,Lata,6450.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:34:47.538Z
inv-1767844767932-16ve3bbno,Gaseosa Coca-Cola 2.5L,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Botella,15200.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:22:41.669Z
inv-1767844768402-5yhkew73j,Lechuga batavia (0.458 kg),cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Kilogramo,4580.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:22:32.620Z
inv-1767844768574-6ocvjq9wb,Tomate chonto (0.515 kg),cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,5180.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:21:34.363Z
inv-1767844769020-qtl9kt1at,Pan Resplandor,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,11500.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:21:52.861Z
inv-1767844769205-5ywzp24pl,Cerveza Budweiser lata,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,0.0,Lata,5000.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:34:56.844Z
inv-1767844879264-64oilkpaa,Baguette Cuisine & Co,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,12900.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:22:49.788Z
inv-1767844879665-lqk1aybfl,Bolsa plástica,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,0.0,Unidad,60.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:21:07.571Z
inv-1767844880071-jkj72xv3l,Mezcla de ají,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,3530.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:22:21.364Z
inv-1767844880346-fl0zdabrc,Queso Colanta,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,15900.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:21:42.496Z
inv-1767844880780-ii3oc94rz,Arándanos,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,11700.0,Jumbo,JUMBO-20251227-001,0.0,,2025-12-27T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:22:57.204Z
inv-1767845037407-4i575yujh,Limpido,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,2000.0,Tienda esquina,TIENDAESQUIN-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-01T17:41:45.216Z
inv-1767845038185-bxjmci9tz,Fabuloso,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,0.0,Unidad,3000.0,Tienda esquina,TIENDAESQUIN-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:02:16.801Z
inv-1767845038584-ar3qdmdwi,Papel higiénico,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,0.0,Unidad,2000.0,Tienda esquina,TIENDAESQUIN-20260108-001,0.0,,2026-01-08T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:02:07.444Z
inv-1767845374827-mp9ajpdr1,Pollo frito,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,34000.0,La Merced,LAMERCED-20260105-001,0.0,,2026-01-05T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:34:25.756Z
inv-1767998047098-dw31jifhe,Jamón de cerdo sánduche,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,7650.0,Carnes del Sebastián,CARNESSEBASTIAN-20260106-001,0.0,,2026-01-06T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:34:41.802Z
inv-1767998048468-cu3r5lzgd,Queso doble crema Colácteos,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,12400.0,Carnes del Sebastián,CARNESSEBASTIAN-20260106-001,0.0,,2026-01-06T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T00:34:48.589Z
inv-1768697002395-12wwfyhfb,Café especial Buesaco,cmnkwlk8u00128xydvbvfkdu6,INVENTORY::insumos para cafeteria,1.0,Paquete,37000.0,Proveedor Café,PROVEEDORCAFE-20260112-001,0.0,,2026-01-12T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:04:34.049Z
inv-1768697003637-rorpdal9v,Café La Jacoba,cmnkwlk8u00128xydvbvfkdu6,INVENTORY::insumos para cafeteria,1.0,Paquete,37000.0,Proveedor Café,PROVEEDORCAFE-20260112-001,0.0,,2026-01-12T12:00:00.000Z,0,2026-01-18T01:31:43.535Z,2026-02-03T01:15:34.033Z
inv-1768953803936-gz1gyesjb,Café Sello Rojo,cmnkwlk8u00128xydvbvfkdu6,INVENTORY::insumos para cafeteria,0.0,Gramo,26800.0,tienda de la esquina,TIENDAESQUINA-20260119-001,0.0,,2026-01-19T12:00:00.000Z,0,2026-01-21T00:03:23.936Z,2026-03-08T19:19:12.732Z
inv-1769226143421-5mgfjha5u,Aguardiente Nariño,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,1.0,Botella,42500.0,N/A,irina,0.0,,2026-01-24T03:42:23.421Z,0,2026-01-24T03:42:23.421Z,2026-02-01T17:33:43.595Z
inv-1769226143421-7lwuaohu7,Aguardiente Amarillo,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,1.0,Botella,44500.0,N/A,irina,0.0,,2026-01-24T03:42:23.421Z,0,2026-01-24T03:42:23.421Z,2026-02-01T17:33:43.595Z
inv-1769226143421-mew32o8t2,Domecq,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,1.0,Botella,46000.0,N/A,irina,0.0,,2026-01-24T03:42:23.421Z,0,2026-01-24T03:42:23.421Z,2026-02-01T17:33:43.595Z
