id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
cmnjwqi9i001ochydtglrvbbr,Café preparado,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,10,Costo unitario (hoja): — | Cantidad (hoja): 120 ml,seed:receta:cafe-frape:L0,,2026-04-05T00:56:48.245Z,,0,2026-04-04T05:44:05.622Z,2026-04-05T00:56:48.245Z
cmnjwqi9j001pchyd8c95710t,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,8.33,Costo unitario (hoja): — | Cantidad (hoja): 60 ml,seed:receta:cafe-frape:L1,,2026-04-05T00:56:48.244Z,,0,2026-04-04T05:44:05.623Z,2026-04-05T00:56:48.244Z
cmnjwqi9k001qchydk3vwncgl,Hielo,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-frape:L2,,2026-04-05T00:56:48.244Z,,0,2026-04-04T05:44:05.624Z,2026-04-05T00:56:48.244Z
cmnjwqi9l001rchydlpjwhqke,Azúcar,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,100,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-frape:L3,,2026-04-05T00:56:48.243Z,,0,2026-04-04T05:44:05.625Z,2026-04-05T00:56:48.243Z
cmnjwqi9n001schydp6at42si,Chispas de chocolate,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,50,Costo unitario (hoja): — | Cantidad (hoja): 10 g,seed:receta:cafe-frape:L4,,2026-04-05T00:56:48.243Z,,0,2026-04-04T05:44:05.627Z,2026-04-05T00:56:48.243Z
cmnjwqi9o001tchydlz6hzxhn,Arequipe,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,30,Costo unitario (hoja): — | Cantidad (hoja): 20 g,seed:receta:cafe-frape:L5,,2026-04-05T00:56:48.242Z,,0,2026-04-04T05:44:05.628Z,2026-04-05T00:56:48.242Z
cmnjwqi9r001uchyd1pmnoedi,Chantilly (lata),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,50,Costo unitario (hoja): — | Cantidad (hoja): 30 g,seed:receta:cafe-frape:L6,,2026-04-05T00:56:48.241Z,,0,2026-04-04T05:44:05.631Z,2026-04-05T00:56:48.241Z
cmnjwqi9s001vchyd1j9kj308,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,300,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-frape:L7,,2026-04-05T00:56:48.240Z,,0,2026-04-04T05:44:05.632Z,2026-04-05T00:56:48.241Z
cmnjwqi9w001wchyd8n6ah8nb,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,1470,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-frape:L8,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.636Z,2026-04-05T00:48:10.092Z
cmnjwqiad0027chydn8y3at3m,Espresso,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,20,Costo unitario (hoja): — | Cantidad (hoja): 60 ml,seed:receta:affogato:L0,,2026-04-05T00:56:48.246Z,,0,2026-04-04T05:44:05.653Z,2026-04-05T00:56:48.246Z
cmnjwqiah0028chydwlt8t5lz,Helado,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,3000,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:affogato:L1,,2026-04-05T00:56:48.245Z,,0,2026-04-04T05:44:05.658Z,2026-04-05T00:56:48.245Z
cmnjwqiaj0029chyd8ffyiurh,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,1260,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:affogato:L2,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.659Z,2026-04-05T00:48:10.092Z
cmnjwqiaw002echydxx74g3wb,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,8.33,Costo unitario (hoja): — | Cantidad (hoja): 180 ml,seed:receta:leche-achocolatada:L0,,2026-04-05T00:56:48.249Z,,0,2026-04-04T05:44:05.672Z,2026-04-05T00:56:48.249Z
cmnjwqiaz002fchyd4utwxtw4,Chocolate,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,800,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:leche-achocolatada:L1,,2026-04-05T00:56:48.248Z,,0,2026-04-04T05:44:05.675Z,2026-04-05T00:56:48.248Z
cmnjwqib3002gchydi0841c9a,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:leche-achocolatada:L2,,2026-04-05T00:56:48.247Z,,0,2026-04-04T05:44:05.679Z,2026-04-05T00:56:48.247Z
cmnjwqib6002hchydvlkx9zkx,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,750,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:leche-achocolatada:L3,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.682Z,2026-04-05T00:48:10.092Z
cmnjwqibi002nchydhva8wihg,Aromática,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,500,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica-con-fruta:L0,,2026-04-05T00:56:48.251Z,,0,2026-04-04T05:44:05.694Z,2026-04-05T00:56:48.251Z
cmnjwqibl002ochyd2v84z2aq,Fruta,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,1000,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica-con-fruta:L1,,2026-04-05T00:56:48.251Z,,0,2026-04-04T05:44:05.697Z,2026-04-05T00:56:48.251Z
cmnjwqibn002pchydl03ni8to,Agua (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,3.5,Costo unitario (hoja): — | Cantidad (hoja): 200 ml,seed:receta:aromatica-con-fruta:L2,,2026-04-05T00:56:48.250Z,,0,2026-04-04T05:44:05.699Z,2026-04-05T00:56:48.250Z
cmnjwqibp002qchyd1azprwl5,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica-con-fruta:L3,,2026-04-05T00:56:48.249Z,,0,2026-04-04T05:44:05.701Z,2026-04-05T00:56:48.249Z
cmnjwqibq002rchydn8buiap7,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,720,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica-con-fruta:L4,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.702Z,2026-04-05T00:48:10.092Z
cmnjwqic2002ychydn94ve4hr,Aromática,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,500,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica:L0,,2026-04-05T00:56:48.253Z,,0,2026-04-04T05:44:05.714Z,2026-04-05T00:56:48.253Z
cmnjwqic6002zchyd5g4peqsa,Agua (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,3.5,Costo unitario (hoja): — | Cantidad (hoja): 200 ml,seed:receta:aromatica:L1,,2026-04-05T00:56:48.253Z,,0,2026-04-04T05:44:05.718Z,2026-04-05T00:56:48.253Z
cmnjwqic90030chydclie0jqx,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica:L2,,2026-04-05T00:56:48.252Z,,0,2026-04-04T05:44:05.721Z,2026-04-05T00:56:48.252Z
cmnjwqica0031chydb70k3k5t,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,420,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:aromatica:L3,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.722Z,2026-04-05T00:48:10.092Z
